tf.Tensor(-2.0648594, shape=(), dtype=float32)
tf.Tensor(-1.2335893, shape=(), dtype=float32)
tf.Tensor(-1.8794224, shape=(), dtype=float32)
tf.Tensor(-1.506404, shape=(), dtype=float32)
tf.Tensor(-1.9122653, shape=(), dtype=float32)
tf.Tensor(-1.9563568, shape=(), dtype=float32)
tf.Tensor(-1.8639373, shape=(), dtype=float32)
tf.Tensor(-1.2202226, shape=(), dtype=float32)
tf.Tensor(-1.9380393, shape=(), dtype=float32)
tf.Tensor(-2.0894103, shape=(), dtype=float32)
tf.Tensor(-2.046327, shape=(), dtype=float32)
tf.Tensor(-1.9645435, shape=(), dtype=float32)
tf.Tensor(-2.1718578, shape=(), dtype=float32)
tf.Tensor(-2.1267784, shape=(), dtype=float32)
tf.Tensor(-0.86885995, shape=(), dtype=float32)
tf.Tensor(-1.0500435, shape=(), dtype=float32)
tf.Tensor(-1.85965, shape=(), dtype=float32)
tf.Tensor(-2.0672405, shape=(), dtype=float32)
tf.Tensor(-2.143681, shape=(), dtype=float32)
tf.Tensor(-2.1392622, shape=(), dtype=float32)
tf.Tensor(-1.7872844, shape=(), dtype=float32)
tf.Tensor(-2.1301856, shape=(), dtype=float32)
tf.Tensor(-1.6923938, shape=(), dtype=float32)
tf.Tensor(-2.161721, shape=(), dtype=float32)
tf.Tensor(-2.077942, shape=(), dtype=float32)
tf.Tensor(-1.8200791, shape=(), dtype=float32)
tf.Tensor(-2.051226, shape=(), dtype=float32)
tf.Tensor(-1.9919997, shape=(), dtype=float32)
tf.Tensor(-2.15315, shape=(), dtype=float32)
tf.Tensor(-2.25801, shape=(), dtype=float32)
tf.Tensor(-2.1518908, shape=(), dtype=float32)
tf.Tensor(-2.0376372, shape=(), dtype=float32)
tf.Tensor(-2.1649404, shape=(), dtype=float32)
tf.Tensor(-2.1381624, shape=(), dtype=float32)
tf.Tensor(-2.0796065, shape=(), dtype=float32)
tf.Tensor(-2.0876353, shape=(), dtype=float32)
tf.Tensor(-2.0168571, shape=(), dtype=float32)
tf.Tensor(-2.2000809, shape=(), dtype=float32)
tf.Tensor(-2.1158192, shape=(), dtype=float32)
